Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
19-05-2025,1428.463867,1442.145638,1425.886032,1439.667044,6195791,-0.010711342,1320.6962,0.019274236
20-05-2025,1412.402466,1432.627824,1409.626512,1425.885998,11270560,-0.011243828,1326.428357,0.019469712
21-05-2025,1416.963013,1423.903078,1405.958076,1411.708464,6136364,0.003228929,1332.393502,0.019433206
22-05-2025,1397.332764,1411.609495,1384.939788,1409.03166,12134466,-0.013853748,1339.158419,0.018275899
23-05-2025,1414.583862,1421.523929,1394.556741,1394.556741,6474883,0.012345734,1347.787244,0.016857017
26-05-2025,1422.515259,1428.662126,1412.898238,1419.739184,4842944,0.005606876,1356.135152,0.01680223
27-05-2025,1409.92395,1424.696401,1401.794207,1413.889702,12640414,-0.00885144,1363.959249,0.017025545
28-05-2025,1400.802856,1410.419757,1398.62162,1407.941162,5944611,-0.00646921,1370.368901,0.016648183
29-05-2025,1405.660889,1407.842004,1396.539586,1400.009619,13771917,0.003468034,1376.24152,0.016487088
30-05-2025,1408.734253,1418.351153,1397.630075,1405.859059,13788484,0.002186419,1382.243022,0.016464097
02-06-2025,1401.595825,1405.363338,1383.650822,1400.009549,8098668,-0.005067264,1386.84329,0.015927613
03-06-2025,1393.466064,1414.286262,1391.384069,1410.122271,11252626,-0.00580036,1390.478564,0.015824655
04-06-2025,1411.31189,1413.493005,1394.060846,1402.587187,8126827,0.012806789,1394.850802,0.015882036
05-06-2025,1430.050171,1442.244785,1411.411088,1415.77344,13716817,0.013277208,1399.556828,0.015973833
06-06-2025,1431.140625,1439.072128,1424.696279,1428.66203,8182161,0.000762529,1404.246326,0.015976448
09-06-2025,1436.395386,1445.020848,1432.925353,1444.525129,7885125,0.003671729,1409.150639,0.015953845
10-06-2025,1426.183472,1441.45164,1423.704877,1437.585008,7913181,-0.007109403,1411.454073,0.01311965
11-06-2025,1436.494507,1456.025787,1430.744118,1433.421073,8195700,0.00722981,1413.080033,0.012566826
12-06-2025,1429.256958,1444.525127,1422.118653,1441.055094,8828114,-0.005038341,1414.289587,0.012608084
13-06-2025,1415.674316,1423.209221,1402.190784,1411.807684,9757276,-0.009503289,1414.557275,0.01261271
16-06-2025,1425.489502,1430.050092,1412.20421,1414.682804,8458093,0.006933223,1414.772083,0.012589502
17-06-2025,1418.945923,1435.602129,1413.592255,1435.602129,10366599,-0.004590408,1415.112472,0.012543982
18-06-2025,1417.855469,1430.446804,1413.493117,1417.756349,6681735,-0.000768496,1415.908927,0.012379807
19-06-2025,1421.028076,1427.571543,1413.493051,1417.855402,10007230,0.00223761,1416.778088,0.012383246
20-06-2025,1453.646362,1458.405313,1415.872598,1418.747793,29010635,0.022954005,1419.719356,0.012316782
